,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,audience,audience:confidence,bias,bias:confidence,message,message:confidence,orig__golden,audience_gold,bias_gold,bioid,embed,id,label,message_gold,source,text,Name,Last Name,Party
14,766192498,False,finalized,1,8/4/15 20:55,constituency,1.0,neutral,1.0,personal,1.0,,,,D000355,"<blockquote class=""twitter-tweet"" width=""450""><p>@SkitchP Wouldn't wish that on anyone. Even you, Skitch.</p> John Dingell (@john_dingell) <a href='https://twitter.com/john_dingell/status/510235923746136064'>2014-09-11 21:18:18</a></blockquote>",5.10236E+17,From: John Dingell (Representative from Michigan),,twitter,"@SkitchP Wouldn't wish that on anyone. Even you, Skitch.",John Dingell,Dingell,D
15,766192499,False,finalized,1,8/4/15 20:38,national,1.0,partisan,1.0,policy,1.0,,,,G000555,"<blockquote class=""twitter-tweet"" width=""450""><p>At 5:45pm, Sen. @CoryBooker will give his maiden Senate speech on need to #RenewUI--such an impt issue! Follow @SenBookerofc for livetweets.</p> Kirsten Gillibrand (@SenGillibrand) <a href='https://twitter.com/SenGillibrand/status/430468973528772608'>2014-02-03 17:32:55</a></blockquote>",4.30469E+17,From: Kirsten Gillibrand (Senator from New York),,twitter,"At 5:45pm, Sen. @CoryBooker will give his maiden Senate speech on need to #RenewUI--such an impt issue! Follow @SenBookerofc for livetweets.",Kirsten Gillibrand,Gillibrand,D
16,766192500,False,finalized,1,8/4/15 21:13,national,1.0,neutral,1.0,personal,1.0,,,,B001288,"<blockquote class=""twitter-tweet"" width=""450""><p>""...if you have come because your liberation is bound up with mine, then let us work together."" ÛÒ Lilla Watson http://t.co/6WPXW9QUM0</p> Cory Booker (@CoryBooker) <a href='https://twitter.com/CoryBooker/status/455686088397316097'>2014-04-14 08:36:44</a></blockquote>",4.55686E+17,From: Cory Booker (Senator from New Jersey),,twitter,"""...if you have come because your liberation is bound up with mine, then let us work together."" ÛÒ Lilla Watson http://t.co/6WPXW9QUM0",Cory Booker,Booker,D
17,766192501,False,finalized,1,8/4/15 21:25,national,1.0,neutral,1.0,support,1.0,,,,E000293,"<blockquote class=""twitter-tweet"" width=""450""><p>For health coverage starting Jan. 1st, you must sign up for @AccessHealthCT by end of today: http://t.co/fS7mNrPpmB #GetEnrolled</p> Elizabeth Esty (@RepEsty) <a href='https://twitter.com/RepEsty/status/415131548988735488'>2013-12-23 09:47:28</a></blockquote>",4.15132E+17,From: Elizabeth Esty (Representative from Connecticut),,twitter,"For health coverage starting Jan. 1st, you must sign up for @AccessHealthCT by end of today: http://t.co/fS7mNrPpmB #GetEnrolled",Elizabeth Esty,Esty,D
19,766192503,False,finalized,1,8/4/15 21:26,national,1.0,partisan,1.0,support,1.0,,,,T000469,"<blockquote class=""twitter-tweet"" width=""450""><p>Tks to Margaret 4 joining me in DC to share successes Niskayuna NCAP saw in education &amp; prevention of substance abuse http://t.co/kvS6kAkJyT</p> Paul Tonko (@RepPaulTonko) <a href='https://twitter.com/RepPaulTonko/status/434041902737129472'>2014-02-13 14:10:28</a></blockquote>",4.34042E+17,From: Paul Tonko (Representative from New York),,twitter,Tks to Margaret 4 joining me in DC to share successes Niskayuna NCAP saw in education &amp; prevention of substance abuse http://t.co/kvS6kAkJyT,Paul Tonko,Tonko,D
20,766192504,False,finalized,1,8/4/15 21:09,national,1.0,neutral,1.0,support,1.0,,,,C000880,"<blockquote class=""twitter-tweet"" width=""450""><p>A great look back at at Idaho Native American tribes in 1863. #idpol #idaho150 Via @KTVB http://t.co/JsxSWVpDPv</p> Senator Mike Crapo (@MikeCrapo) <a href='https://twitter.com/MikeCrapo/status/308696811168731136'>2013-03-04 16:53:49</a></blockquote>",3.08697E+17,From: Michael Crapo (Senator from Idaho),,twitter,A great look back at at Idaho Native American tribes in 1863. #idpol #idaho150 Via @KTVB http://t.co/JsxSWVpDPv,Michael Crapo,Crapo,R
21,766192505,False,finalized,1,8/4/15 21:01,national,1.0,neutral,1.0,other,1.0,,,,H000338,"<blockquote class=""twitter-tweet"" width=""450""><p>#OTD in 1969, American astronaut Neil Armstrong stepped off the lunar landing module Eagle and walked on the surface of the moon</p> Senator Hatch Office (@SenOrrinHatch) <a href='https://twitter.com/SenOrrinHatch/status/490949558340706304'>2014-07-20 16:01:10</a></blockquote>",4.9095E+17,From: Orrin Hatch (Senator from Utah),,twitter,"#OTD in 1969, American astronaut Neil Armstrong stepped off the lunar landing module Eagle and walked on the surface of the moon",Orrin Hatch,Hatch,R
22,766192506,False,finalized,1,8/5/15 1:00,national,1.0,neutral,1.0,policy,1.0,,,,T000465,"<blockquote class=""twitter-tweet"" width=""450""><p>RT if you agree: It's time to #ActOnClimate change  Õ more info on the #NCA2014 released today at http://t.co/SdCnKyUDVJ</p> Niki Tsongas (@nikiinthehouse) <a href='https://twitter.com/nikiinthehouse/status/463783605798707200'>2014-05-06 16:53:22</a></blockquote>",4.63784E+17,From: Niki Tsongas (Representative from Massachusetts),,twitter,RT if you agree: It's time to #ActOnClimate change  Õ more info on the #NCA2014 released today at http://t.co/SdCnKyUDVJ,Niki Tsongas,Tsongas,D
25,766192509,False,finalized,1,8/4/15 21:21,national,1.0,partisan,1.0,support,1.0,,,,R000361,"<blockquote class=""twitter-tweet"" width=""450""><p>This wkÛªs 1 min video is on how expanding Medicaid in #WV will help so many families get affordable health care. http://t.co/VDUMX9R4x5</p> Jay Rockefeller (@SenRockefeller) <a href='https://twitter.com/SenRockefeller/status/343148535816024064'>2013-06-07 19:32:40</a></blockquote>",3.43149E+17,From: John Rockefeller IV (Senator from West Virginia),,twitter,This wkÛªs 1 min video is on how expanding Medicaid in #WV will help so many families get affordable health care. http://t.co/VDUMX9R4x5,John Rockefeller IV,IV,R
26,766192510,False,finalized,1,8/4/15 21:20,national,1.0,neutral,1.0,personal,1.0,,,,W000809,"<blockquote class=""twitter-tweet"" width=""450""><p>Thinking of all those affected by the severe weather today - especially in Oklahoma.  Stay safe.</p> Rep. Steve Womack (@rep_stevewomack) <a href='https://twitter.com/rep_stevewomack/status/336591190055088129'>2013-05-20 17:16:07</a></blockquote>",3.36591E+17,From: Steve Womack (Representative from Arkansas),,twitter,Thinking of all those affected by the severe weather today - especially in Oklahoma.  Stay safe.,Steve Womack,Womack,R
27,766192511,False,finalized,1,8/4/15 21:22,national,1.0,partisan,1.0,attack,1.0,,,,H001059,"<blockquote class=""twitter-tweet"" width=""450""><p>Remember Bill? He and his friends are stuck on @SenatorReid's desk. #4jobs http://t.co/0DCNU1R3G7</p> Rep. Randy Hultgren (@RepHultgren) <a href='https://twitter.com/RepHultgren/status/487652360798601216'>2014-07-11 13:39:17</a></blockquote>",4.87652E+17,From: Randy Hultgren (Representative from Illinois),,twitter,Remember Bill? He and his friends are stuck on @SenatorReid's desk. #4jobs http://t.co/0DCNU1R3G7,Randy Hultgren,Hultgren,R
29,766192513,False,finalized,1,8/4/15 21:30,national,1.0,neutral,1.0,information,1.0,,,,D000618,"<blockquote class=""twitter-tweet"" width=""450""><p>American #energy production is creating #jobs, holding prices down, and promoting energy independence: http://t.co/Pw6cdXrHiR</p> Steve Daines (@SteveDaines) <a href='https://twitter.com/SteveDaines/status/486529912061194240'>2014-07-08 11:19:04</a></blockquote>",4.8653E+17,From: Steve Daines (Representative from Montana),,twitter,"American #energy production is creating #jobs, holding prices down, and promoting energy independence: http://t.co/Pw6cdXrHiR",Steve Daines,Daines,R
32,766192516,False,finalized,1,8/4/15 20:48,national,1.0,partisan,1.0,information,1.0,,,,L000263,"<blockquote class=""twitter-tweet"" width=""450""><p>Delaying or refusing to vote to #RenewUI has real life consequences for 2.8 million Americans- http://t.co/srPRCzH2Dg http://t.co/FYzWGvwKXz</p> Sandy Levin (@repsandylevin) <a href='https://twitter.com/repsandylevin/status/454359261892452352'>2014-04-10 16:44:24</a></blockquote>",4.54359E+17,From: Sander Levin (Representative from Michigan),,twitter,Delaying or refusing to vote to #RenewUI has real life consequences for 2.8 million Americans- http://t.co/srPRCzH2Dg http://t.co/FYzWGvwKXz,Sander Levin,Levin,D
33,766192517,False,finalized,1,8/4/15 20:51,national,1.0,partisan,1.0,personal,1.0,,,,M000355,"<blockquote class=""twitter-tweet"" width=""450""><p>In his office in the @uscapitol, Senator McConnell congratulated &amp; welcomed Senator-elect Bill Cassidy to the Senate http://t.co/fyZY42ddZP</p> Sen. McConnell Press (@McConnellPress) <a href='https://twitter.com/McConnellPress/status/542794793278271488'>2014-12-10 16:35:38</a></blockquote>",5.42795E+17,From: Mitch McConnell (Senator from Kentucky),,twitter,"In his office in the @uscapitol, Senator McConnell congratulated &amp; welcomed Senator-elect Bill Cassidy to the Senate http://t.co/fyZY42ddZP",Mitch McConnell,McConnell,R
35,766192519,False,finalized,1,8/4/15 21:21,national,1.0,neutral,1.0,information,1.0,,,,R000591,"<blockquote class=""twitter-tweet"" width=""450""><p>""Six enrolled on health site on Day 1"" via @politico. #trainwreck http://t.co/ng4OzR3pab</p> Rep. Martha Roby  (@RepMarthaRoby) <a href='https://twitter.com/RepMarthaRoby/status/396284824714899457'>2013-11-01 10:37:19</a></blockquote>",3.96285E+17,From: Martha Roby (Representative from Alabama),,twitter,"""Six enrolled on health site on Day 1"" via @politico. #trainwreck http://t.co/ng4OzR3pab",Martha Roby,Roby,R
36,766192520,False,finalized,1,8/4/15 21:11,national,1.0,neutral,1.0,policy,1.0,,,,R000576,"<blockquote class=""twitter-tweet"" width=""450""><p>$10M in federal funds will help relieve congestion around @FtMeadeMD! More: http://t.co/biOp5x3HYX</p> Dutch Ruppersberger (@Call_Me_Dutch) <a href='https://twitter.com/Call_Me_Dutch/status/509406798026399744'>2014-09-09 14:23:39</a></blockquote>",5.09407E+17,From: C.A. Dutch Ruppersberger (Representative from Maryland),,twitter,$10M in federal funds will help relieve congestion around @FtMeadeMD! More: http://t.co/biOp5x3HYX,C.A. Dutch Ruppersberger,Ruppersberger,D
40,766192524,False,finalized,1,8/4/15 21:24,constituency,1.0,partisan,1.0,policy,1.0,,,,W000797,"<blockquote class=""twitter-tweet"" width=""450""><p>#Florida is ""tale of what went right with President Barack Obama's health care overhaulÛ despite GOP opposition: http://t.co/bhsAcU3Wje</p> D Wasserman Schultz (@DWStweets) <a href='https://twitter.com/DWStweets/status/449207840033755136'>2014-03-27 11:34:29</a></blockquote>",4.49208E+17,From: Debbie Wasserman Schultz (Representative from Florida),,twitter,"#Florida is ""tale of what went right with President Barack Obama's health care overhaulÛ despite GOP opposition: http://t.co/bhsAcU3Wje",Debbie Wasserman Schultz,Schultz,D
41,766192525,False,finalized,1,8/4/15 20:18,national,1.0,neutral,1.0,mobilization,1.0,,,,S001180,"<blockquote class=""twitter-tweet"" width=""450""><p>If you are in DC tomorrow &amp; want to #MakeGovernmentWork, join us #ProblemSolvers in showing America that some of us are here to #FixNotFight</p> Rep. Kurt Schrader (@RepSchrader) <a href='https://twitter.com/RepSchrader/status/357577308711829504'>2013-07-17 15:07:28</a></blockquote>",3.57577E+17,From: Kurt Schrader (Representative from Oregon),,twitter,"If you are in DC tomorrow &amp; want to #MakeGovernmentWork, join us #ProblemSolvers in showing America that some of us are here to #FixNotFight",Kurt Schrader,Schrader,D
42,766192526,False,finalized,1,8/4/15 20:44,constituency,1.0,neutral,1.0,support,1.0,,,,B001260,"<blockquote class=""twitter-tweet"" width=""450""><p>FL delegation shining spotlight on VA health care in sunshine state http://t.co/CdeEXuC1C5</p> Rep. Vern Buchanan (@VernBuchanan) <a href='https://twitter.com/VernBuchanan/status/477097223218401282'>2014-06-12 10:36:56</a></blockquote>",4.77097E+17,From: Vern Buchanan (Representative from Florida),,twitter,FL delegation shining spotlight on VA health care in sunshine state http://t.co/CdeEXuC1C5,Vern Buchanan,Buchanan,R
44,766192528,False,finalized,1,8/4/15 20:21,national,1.0,partisan,1.0,policy,1.0,,,,P000607,"<blockquote class=""twitter-tweet"" width=""450""><p>Video of my speech on house floor, rejecting #GOPBudget that cuts jobs in #WI and turns #Medicare into a voucher http://t.co/tItIxBrF4C</p> U.S. Rep. Mark Pocan (@repmarkpocan) <a href='https://twitter.com/repmarkpocan/status/314144535049560065'>2013-03-19 18:41:08</a></blockquote>",3.14145E+17,From: Mark Pocan (Representative from Wisconsin),,twitter,"Video of my speech on house floor, rejecting #GOPBudget that cuts jobs in #WI and turns #Medicare into a voucher http://t.co/tItIxBrF4C",Mark Pocan,Pocan,D
47,766192531,False,finalized,1,8/4/15 20:41,national,1.0,neutral,1.0,information,1.0,,,,H000874,"<blockquote class=""twitter-tweet"" width=""450""><p>For 23 years, the Americans with Disabilities Act has been opening doors for tens of millions of Americans. http://t.co/tezFwZ1iS1</p> Steny Hoyer (@WhipHoyer) <a href='https://twitter.com/WhipHoyer/status/360807028421177345'>2013-07-26 13:01:13</a></blockquote>",3.60807E+17,From: Steny Hoyer (Representative from Maryland),,twitter,"For 23 years, the Americans with Disabilities Act has been opening doors for tens of millions of Americans. http://t.co/tezFwZ1iS1",Steny Hoyer,Hoyer,D
48,766192532,False,finalized,1,8/4/15 20:37,national,1.0,neutral,1.0,personal,1.0,,,,B001288,"<blockquote class=""twitter-tweet"" width=""450""><p>Is that delight or terror MT @LyndaWoolard Can u see my delight when Cory taught me how 2 take a selfie in yesterday? http://t.co/GJd2pmcMOY</p> Cory Booker (@CoryBooker) <a href='https://twitter.com/CoryBooker/status/478246793818701824'>2014-06-15 14:44:55</a></blockquote>",4.78247E+17,From: Cory Booker (Senator from New Jersey),,twitter,Is that delight or terror MT @LyndaWoolard Can u see my delight when Cory taught me how 2 take a selfie in yesterday? http://t.co/GJd2pmcMOY,Cory Booker,Booker,D
49,766192533,False,finalized,2,8/4/15 21:04,national,1.0,neutral,1.0,information,1.0,,,,F000043,"<blockquote class=""twitter-tweet"" width=""450""><p>RT @AAAS_News: ""Basic science is a riskier investment compared with applied research, but one with larger potential payoffs,"" #OpEd http://Û_</p> Chaka Fattah (@chakafattah) <a href='https://twitter.com/chakafattah/status/336960001753092096'>2013-05-21 17:41:39</a></blockquote>",3.3696E+17,From: Chaka Fattah (Representative from Pennsylvania),,twitter,"RT @AAAS_News: ""Basic science is a riskier investment compared with applied research, but one with larger potential payoffs,"" #OpEd http://Û_",Chaka Fattah,Fattah,D
50,766192534,False,finalized,1,8/5/15 5:58,national,1.0,neutral,1.0,support,1.0,,,,H001069,"<blockquote class=""twitter-tweet"" width=""450""><p>Promising @FannieMae is paying back more $ to US taxpayers. Reinforces 5 yrs after crash we need #GSEreform to help prevent another bailout</p> Sen. Heidi Heitkamp (@SenatorHeitkamp) <a href='https://twitter.com/SenatorHeitkamp/status/398468067962802177'>2013-11-07 10:12:45</a></blockquote>",3.98468E+17,From: Heidi Heitkamp (Senator from North Dakota),,twitter,Promising @FannieMae is paying back more $ to US taxpayers. Reinforces 5 yrs after crash we need #GSEreform to help prevent another bailout,Heidi Heitkamp,Heitkamp,D
51,766192535,False,finalized,1,8/4/15 21:35,national,1.0,partisan,1.0,policy,1.0,,,,M000133,"<blockquote class=""twitter-tweet"" width=""450""><p>#KXL oil export strategy makes US a middle man &amp; worsens #climatechange.Senate shld reject it http://t.co/Z8fiHvgckO http://t.co/p4pk9gfw4r</p> Ed Markey (@MarkeyMemo) <a href='https://twitter.com/MarkeyMemo/status/532986939629391873'>2014-11-13 15:02:43</a></blockquote>",5.32987E+17,From: Edward Markey (Senator from Massachusetts),,twitter,#KXL oil export strategy makes US a middle man &amp; worsens #climatechange.Senate shld reject it http://t.co/Z8fiHvgckO http://t.co/p4pk9gfw4r,Edward Markey,Markey,D
52,766192536,False,finalized,1,8/4/15 21:09,national,1.0,partisan,1.0,policy,1.0,,,,M000355,"<blockquote class=""twitter-tweet"" width=""450""><p>WTVW-TV report: McConnell sponsors Sunscreen Innovation Act (+playlist): http://t.co/J0yooWhFTR #Kentucky</p> Sen. McConnell Press (@McConnellPress) <a href='https://twitter.com/McConnellPress/status/474996969161498624'>2014-06-06 15:31:17</a></blockquote>",4.74997E+17,From: Mitch McConnell (Senator from Kentucky),,twitter,WTVW-TV report: McConnell sponsors Sunscreen Innovation Act (+playlist): http://t.co/J0yooWhFTR #Kentucky,Mitch McConnell,McConnell,R
54,766192538,False,finalized,1,8/4/15 21:07,national,1.0,neutral,1.0,personal,1.0,,,,G000562,"<blockquote class=""twitter-tweet"" width=""450""><p>Congrats to the #coleg - last day of session.</p> Rep. Cory Gardner  (@repcorygardner) <a href='https://twitter.com/repcorygardner/status/332159903215022081'>2013-05-08 11:47:46</a></blockquote>",3.3216E+17,From: Cory Gardner (Representative from Colorado),,twitter,Congrats to the #coleg - last day of session.,Cory Gardner,Gardner,R
55,766192539,False,finalized,1,8/4/15 20:44,national,1.0,partisan,1.0,attack,1.0,,,,R000435,"<blockquote class=""twitter-tweet"" width=""450""><p>DemandarÌÁ Obama un recuento en #Venezuela? Creo q deberÌ_a. Lee mi carta y tweet @whitehouse para decirle lo q piensas http://t.co/wrhmJLBKzh</p> Ileana Ros-Lehtinen (@RosLehtinen) <a href='https://twitter.com/RosLehtinen/status/324971346473926660'>2013-04-18 15:43:01</a></blockquote>",3.24971E+17,From: Ileana Ros-Lehtinen (Representative from Florida),,twitter,DemandarÌÁ Obama un recuento en #Venezuela? Creo q deberÌ_a. Lee mi carta y tweet @whitehouse para decirle lo q piensas http://t.co/wrhmJLBKzh,Ileana Ros-Lehtinen,Ros-Lehtinen,R
57,766192541,False,finalized,1,8/4/15 21:22,national,1.0,neutral,1.0,information,1.0,,,,S001150,"<blockquote class=""twitter-tweet"" width=""450""><p>ICYMI: I spoke with @WolfBlitzer tonight about the #SonyHack &amp; North Korea. http://t.co/PRvJK3Nb3C</p> Adam Schiff (@RepAdamSchiff) <a href='https://twitter.com/RepAdamSchiff/status/546086609184366592'>2014-12-19 18:36:08</a></blockquote>",5.46087E+17,From: Adam Schiff (Representative from California),,twitter,ICYMI: I spoke with @WolfBlitzer tonight about the #SonyHack &amp; North Korea. http://t.co/PRvJK3Nb3C,Adam Schiff,Schiff,D
58,766192542,False,finalized,1,8/4/15 21:09,constituency,1.0,neutral,1.0,support,1.0,,,,L000564,"<blockquote class=""twitter-tweet"" width=""450""><p>Hosting the #Colorado30 Group today on the Hill. Strengthening connections with CO  leaders on national defense. http://t.co/wJP0yUN2AF</p> Rep. Doug Lamborn (@RepDLamborn) <a href='https://twitter.com/RepDLamborn/status/336855356112269312'>2013-05-21 10:45:50</a></blockquote>",3.36855E+17,From: Doug Lamborn (Representative from Colorado),,twitter,Hosting the #Colorado30 Group today on the Hill. Strengthening connections with CO  leaders on national defense. http://t.co/wJP0yUN2AF,Doug Lamborn,Lamborn,R
61,766192545,False,finalized,1,8/4/15 21:09,constituency,1.0,neutral,1.0,information,1.0,,,,S001191,"<blockquote class=""twitter-tweet"" width=""450""><p>Come get help w/fed agencies at Mobile Office Hrs: Th, 11am-12:30pm, Acacia Library (750 E. Townley Ave, Phx). http://t.co/83jgOjKirc</p> Kyrsten Sinema (@RepSinema) <a href='https://twitter.com/RepSinema/status/516362226782199808'>2014-09-28 19:02:03</a></blockquote>",5.16362E+17,From: Kyrsten Sinema (Representative from Arizona),,twitter,"Come get help w/fed agencies at Mobile Office Hrs: Th, 11am-12:30pm, Acacia Library (750 E. Townley Ave, Phx). http://t.co/83jgOjKirc",Kyrsten Sinema,Sinema,D
62,766192546,False,finalized,1,8/4/15 21:27,national,1.0,partisan,1.0,policy,1.0,,,,M001165,"<blockquote class=""twitter-tweet"" width=""450""><p>The Obama economy just isnÛªt cutting it for hardworking Americans  Õ http://t.co/yagUZrvj6i</p> Kevin McCarthy (@GOPWhip) <a href='https://twitter.com/GOPWhip/status/514871475107823617'>2014-09-24 16:18:20</a></blockquote>",5.14871E+17,From: Kevin McCarthy (Representative from California),,twitter,The Obama economy just isnÛªt cutting it for hardworking Americans  Õ http://t.co/yagUZrvj6i,Kevin McCarthy,McCarthy,R
64,766192548,False,finalized,1,8/4/15 21:07,national,1.0,neutral,1.0,media,1.0,,,,G000289,"<blockquote class=""twitter-tweet"" width=""450""><p>Joining the @FoxMorningNews in Roanoke just after 8AM. Hope you'll tune in! #VA06 #rke</p> Bob Goodlatte (@RepGoodlatte) <a href='https://twitter.com/RepGoodlatte/status/532142762276052992'>2014-11-11 07:08:15</a></blockquote>",5.32143E+17,From: Robert Goodlatte (Representative from Virginia),,twitter,Joining the @FoxMorningNews in Roanoke just after 8AM. Hope you'll tune in! #VA06 #rke,Robert Goodlatte,Goodlatte,R
65,766192549,False,finalized,1,8/4/15 21:23,national,1.0,neutral,1.0,information,1.0,,,,L000576,"<blockquote class=""twitter-tweet"" width=""450""><p>RT @jaketapper: Pentagon:  Sgt. Stephen New, 29, of Bartlett, TN, died July 28 in Bagram after unit was attacked by small arms fire http://Û_</p> Billy Long (@auctnr1) <a href='https://twitter.com/auctnr1/status/362384281764499456'>2013-07-30 21:28:40</a></blockquote>",3.62384E+17,From: Billy Long (Representative from Missouri),,twitter,"RT @jaketapper: Pentagon:  Sgt. Stephen New, 29, of Bartlett, TN, died July 28 in Bagram after unit was attacked by small arms fire http://Û_",Billy Long,Long,R
